neighborhood,current_cases,lat,long,ds
Tarzana,7,34.1509,-118.5517,2020-03-21
Torrance,2,33.8408,-118.3454,2020-03-21
Tujunga,1,34.2633,-118.3027,2020-03-21
University Park,1,34.0315,-118.2797,2020-03-21
Valley Glen,6,34.1838,-118.4172,2020-03-21
Van Nuys,2,34.1899,-118.4514,2020-03-21
Venice,6,33.9764,-118.4667,2020-03-21
Vermont Knolls,1,33.9293,-118.2893,2020-03-21
Vermont Vista,1,33.9465,-118.2826,2020-03-21
Vernon Central,1,34.0043,-118.2570,2020-03-21
Walnut,1,34.0203,-117.8653,2020-03-21
West Adams,2,34.0342,-118.3623,2020-03-21
West Covina,1,34.0686,-117.9390,2020-03-21
West Hills,4,34.1973,-118.6440,2020-03-21
West Hollywood,18,34.0907,-118.3860,2020-03-21
West Los Angeles,3,34.0399,-118.4422,2020-03-21
West Vernon,2,34.0039,-118.2301,2020-03-21
Westchester,3,33.9597,-118.4006,2020-03-21
Westlake,1,34.1458,-118.8056,2020-03-21
Westwood,5,34.0561,-118.4297,2020-03-21
Whittier,2,33.9679,-118.0189,2020-03-21
Winnetka,1,34.2059,-118.5754,2020-03-21
Woodland Hills,5,34.1659,-118.6104,2020-03-21
-Under Investigation,31,#N/A,#N/A,2020-03-21
Pasadena,3,34.1561,-118.1319,2020-03-21
Long Beach,13,33.7701,-118.1937,2020-03-21
Alhambra,3,34.0953,-118.1270,2020-03-22
Altadena,3,34.1902,-118.1313,2020-03-22
Arcadia,2,34.1397,-118.0353,2020-03-22
Athens,1,33.9200,-118.2812,2020-03-22
Baldwin Hills,3,34.0047,-118.3415,2020-03-22
Bellflower,1,33.8822,-118.1180,2020-03-22
Beverly Hills,8,34.0736,-118.4004,2020-03-22
Beverlywood,6,34.0409,-118.3919,2020-03-22
Boyle Heights,5,34.0339,-118.2054,2020-03-22
Brentwood,23,34.0519,-118.4731,2020-03-22
Burbank,2,34.1808,-118.3090,2020-03-22
Calabasas,2,34.1383,-118.6608,2020-03-22
Canoga Park,1,34.2011,-118.5981,2020-03-22
Carson,4,33.8374,-118.2559,2020-03-22
Castaic,1,34.4889,-118.6229,2020-03-22
Century City,4,34.0556,-118.4179,2020-03-22
Century Palms/Cove,1,33.9461,-118.2732,2020-03-22
Cerritos,2,33.8584,-118.0648,2020-03-22
Covina,1,34.0900,-117.8903,2020-03-22
Crestview,5,34.0458,-118.3816,2020-03-22
Culver City,4,34.0211,-118.3965,2020-03-22
Del Rey,2,33.9878,-118.4229,2020-03-22
Diamond Bar,2,34.0286,-117.8103,2020-03-22
Downtown,1,34.0422,-118.2488,2020-03-22
Eagle Rock,1,34.1322,-118.2117,2020-03-22
East Hollywood,1,34.0948,-118.2910,2020-03-22
East Los Angeles,2,34.0316,-118.1724,2020-03-22
Echo Park,1,34.0782,-118.2606,2020-03-22
El Segundo,1,33.9192,-118.4165,2020-03-22
Encino,10,34.1517,-118.5214,2020-03-22
Gardena,1,33.8938,-118.3080,2020-03-22
Glendale,6,34.1425,-118.2551,2020-03-22
Glendora,1,34.1361,-117.8653,2020-03-22
Granada Hills,4,34.2794,-118.5022,2020-03-22
Hancock Park,5,34.0745,-118.3304,2020-03-22
Hawthorne,2,33.9194,-118.3540,2020-03-22
Hollywood,12,34.1016,-118.3337,2020-03-22
