,neighborhood,current_cases,cases_per_100k,ds,ds_3_days_ago,new_cases_last_3_days,lat,long
11946,Lake Manor,0.0,0.0,2020-03-30,2020-03-27,,,
11947,Lakeview Terrace,0.0,0.0,2020-03-30,2020-03-27,,34.2764,-118.3612
11948,Lakewood,13.0,16.63,2020-03-30,2020-03-27,,33.8536,-118.134
11949,Lancaster,27.0,17.24,2020-03-30,2020-03-27,,34.6868,-118.1542
11950,Lawndale,4.0,11.98,2020-03-30,2020-03-27,,33.8881,-118.3535
11951,Leimert Park,0.0,0.0,2020-03-30,2020-03-27,,34.0118,-118.3234
11952,Lennox,7.0,29.68,2020-03-30,2020-03-27,,33.9397,-118.3529
11953,Leona Valley,0.0,0.0,2020-03-30,2020-03-27,,,
11954,Lincoln Heights,2.0,6.05,2020-03-30,2020-03-27,,34.0706,-118.2051
11955,Little Armenia,0.0,0.0,2020-03-30,2020-03-27,,34.0981,-118.3005
11956,Little Bangladesh,5.0,17.2,2020-03-30,2020-03-27,,34.0691,-118.2956
11957,Little Tokyo,0.0,0.0,2020-03-30,2020-03-27,,34.0523,-118.2395
11958,Littlerock,0.0,0.0,2020-03-30,2020-03-27,,,
11959,Littlerock/Juniper Hills,0.0,0.0,2020-03-30,2020-03-27,,,
11960,Littlerock/Pearblossom,0.0,0.0,2020-03-30,2020-03-27,,34.5211,-117.9837
11961,Llano,0.0,0.0,2020-03-30,2020-03-27,,,
11962,Lomita,0.0,0.0,2020-03-30,2020-03-27,,33.7922,-118.3151
11963,Longwood,0.0,0.0,2020-03-30,2020-03-27,,34.055296000000006,-118.33941499999999
11964,Los Feliz,11.0,51.55,2020-03-30,2020-03-27,,34.1124,-118.2851
11965,Lynwood,16.0,22.16,2020-03-30,2020-03-27,,33.9293,-118.2139
11966,Malibu,0.0,0.0,2020-03-30,2020-03-27,,34.0259,-118.7798
11967,Manchester Square,0.0,0.0,2020-03-30,2020-03-27,,33.8993,-118.2977
11968,Mandeville Canyon,0.0,0.0,2020-03-30,2020-03-27,,,
11969,Manhattan Beach,31.0,88.14,2020-03-30,2020-03-27,,33.8812,-118.4072
11970,Mar Vista,13.0,31.03,2020-03-30,2020-03-27,,34.0037,-118.469
11971,Marina Peninsula,0.0,0.0,2020-03-30,2020-03-27,,33.9797,-118.4657
11972,Marina del Rey,0.0,0.0,2020-03-30,2020-03-27,,33.9803,-118.4517
11973,Maywood,5.0,17.78,2020-03-30,2020-03-27,,33.9885,-118.1874
11974,Melrose,82.0,105.62,2020-03-30,2020-03-27,,34.0837,-118.3366
11975,Mid-city,10.0,66.39,2020-03-30,2020-03-27,,34.0429,-118.3344
11976,Miracle Mile,10.0,56.6,2020-03-30,2020-03-27,,34.0597,-118.35
11977,Mission Hills,6.0,25.03,2020-03-30,2020-03-27,,34.2723,-118.4689
11978,Monrovia,4.0,10.68,2020-03-30,2020-03-27,,34.1481,-117.999
11979,Montebello,4.0,6.28,2020-03-30,2020-03-27,,34.0095,-118.1054
11980,Monterey Park,5.0,8.18,2020-03-30,2020-03-27,,34.0625,-118.1228
11981,Mt. Washington,0.0,0.0,2020-03-30,2020-03-27,,34.1003,-118.2097
11982,Newhall,0.0,0.0,2020-03-30,2020-03-27,,,
11983,North Hills,7.0,11.49,2020-03-30,2020-03-27,,34.2362,-118.4851
11984,North Hollywood,34.0,22.46,2020-03-30,2020-03-27,,34.187,-118.3813
11985,North Lancaster,0.0,0.0,2020-03-30,2020-03-27,,,
11986,North Whittier,0.0,0.0,2020-03-30,2020-03-27,,34.0396,-117.9991
11987,Northeast San Gabriel,0.0,0.0,2020-03-30,2020-03-27,,34.0961,-118.1058
11988,Northridge,8.0,11.81,2020-03-30,2020-03-27,,34.2379,-118.5302
11989,Norwalk,15.0,14.3,2020-03-30,2020-03-27,,33.9022,-118.0817
11990,Pacific Palisades,18.0,86.94,2020-03-30,2020-03-27,,34.0481,-118.5265
11991,Pacoima,4.0,5.0,2020-03-30,2020-03-27,,34.2625,-118.427
11992,Padua Hills,0.0,0.0,2020-03-30,2020-03-27,,,
11993,Palisades Highlands,0.0,0.0,2020-03-30,2020-03-27,,,
11994,Palmdale,9.0,5.64,2020-03-30,2020-03-27,,34.5794,-118.1093
11995,Palms,21.0,46.5,2020-03-30,2020-03-27,,34.0237,-118.4151
11996,Palos Verdes Estates,14.0,102.44,2020-03-30,2020-03-27,,33.7871,-118.3976
11997,Palos Verdes Peninsula,0.0,0.0,2020-03-30,2020-03-27,,,
11998,Panorama City,7.0,9.21,2020-03-30,2020-03-27,,34.2247,-118.4498
11999,Paramount,7.0,12.45,2020-03-30,2020-03-27,,33.8895,-118.1598
12000,Park La Brea,0.0,0.0,2020-03-30,2020-03-27,,34.0702,-118.3497
12001,Pasadena,0.0,0.0,2020-03-30,2020-03-27,,34.1561,-118.1319
12002,Pearblossom/Llano,0.0,0.0,2020-03-30,2020-03-27,,,
12003,Pellissier Village,0.0,0.0,2020-03-30,2020-03-27,,,
12004,Pico Rivera,6.0,9.37,2020-03-30,2020-03-27,,33.9831,-118.0967
12005,Pico-Union,5.0,11.74,2020-03-30,2020-03-27,,34.0446,-118.277
12006,Placerita Canyon,0.0,0.0,2020-03-30,2020-03-27,,,
12007,Playa Del Rey,0.0,0.0,2020-03-30,2020-03-27,,,
12008,Playa Vista,5.0,50.08,2020-03-30,2020-03-27,,33.9728,-118.4276
12009,Pomona,5.0,3.22,2020-03-30,2020-03-27,,34.0551,-117.75
12010,Porter Ranch,6.0,18.07,2020-03-30,2020-03-27,,39.4346,-121.0205
12011,Quartz Hill,0.0,0.0,2020-03-30,2020-03-27,,34.6453,-118.2181
12012,Rancho Dominguez,0.0,0.0,2020-03-30,2020-03-27,,33.8508,-118.2249
12013,Rancho Palos Verdes,10.0,23.31,2020-03-30,2020-03-27,,33.7445,-118.387
12014,Rancho Park,0.0,0.0,2020-03-30,2020-03-27,,34.0454,-118.4207
12015,Redondo Beach,34.0,49.05,2020-03-30,2020-03-27,,33.8492,-118.3884
12016,Regent Square,0.0,0.0,2020-03-30,2020-03-27,,,
12017,Reseda,20.0,26.4,2020-03-30,2020-03-27,,34.2011,-118.536
12018,Reseda Ranch,0.0,0.0,2020-03-30,2020-03-27,,34.216,-118.5356
12019,Reynier Village,0.0,0.0,2020-03-30,2020-03-27,,34.0368,-118.3856
12020,Rolling Hills,0.0,0.0,2020-03-30,2020-03-27,,,
12021,Rolling Hills Estates,0.0,0.0,2020-03-30,2020-03-27,,33.7878,-118.3581
12022,Roosevelt,0.0,0.0,2020-03-30,2020-03-27,,,
12023,Rosemead,2.0,3.63,2020-03-30,2020-03-27,,34.0806,-118.0728
12024,Rosewood,0.0,0.0,2020-03-30,2020-03-27,,,
12025,Rosewood/East Gardena,0.0,0.0,2020-03-30,2020-03-27,,,
12026,Rosewood/West Rancho Dominguez,0.0,0.0,2020-03-30,2020-03-27,,34.0057,-118.4304
12027,Rowland Heights,3.0,5.9,2020-03-30,2020-03-27,,33.9761,-117.9053
12028,San Clemente Island,0.0,0.0,2020-03-30,2020-03-27,,,
12029,San Dimas,3.0,8.82,2020-03-30,2020-03-27,,34.1067,-117.8067
12030,San Fernando,0.0,0.0,2020-03-30,2020-03-27,,34.2819,-118.439
12031,San Francisquito Canyon/Bouquet Canyon,0.0,0.0,2020-03-30,2020-03-27,,,
12032,San Gabriel,6.0,14.88,2020-03-30,2020-03-27,,34.0968,-118.1057
12033,San Jose Hills,0.0,0.0,2020-03-30,2020-03-27,,34.0592,-117.8426
12034,San Marino,0.0,0.0,2020-03-30,2020-03-27,,34.1214,-118.1065
12035,San Pasqual,0.0,0.0,2020-03-30,2020-03-27,,,
12036,San Pedro,11.0,14.14,2020-03-30,2020-03-27,,33.7361,-118.2922
12037,Sand Canyon,0.0,0.0,2020-03-30,2020-03-27,,,
12038,Santa Catalina Island,0.0,0.0,2020-03-30,2020-03-27,,,
12039,Santa Clarita,41.0,18.69,2020-03-30,2020-03-27,,34.3917,-118.5426
12040,Santa Fe Springs,0.0,0.0,2020-03-30,2020-03-27,,33.9472,-118.0853
12041,Santa Monica,47.0,50.32,2020-03-30,2020-03-27,,34.0242,-118.4965
12042,Santa Monica Mountains,0.0,0.0,2020-03-30,2020-03-27,,34.1203,-118.9318
12043,Saugus,0.0,0.0,2020-03-30,2020-03-27,,,
12044,Saugus/Canyon Country,0.0,0.0,2020-03-30,2020-03-27,,,
12045,Shadow Hills,0.0,0.0,2020-03-30,2020-03-27,,34.2575,-118.355
12046,Sherman Oaks,32.0,37.66,2020-03-30,2020-03-27,,34.15,-118.4489
12047,Sierra Madre,0.0,0.0,2020-03-30,2020-03-27,,34.1617,-118.0528
12048,Signal Hill,0.0,0.0,2020-03-30,2020-03-27,,33.8045,-118.1678
12049,Silverlake,18.0,41.68,2020-03-30,2020-03-27,,34.0869,-118.2702
12050,South Antelope Valley,0.0,0.0,2020-03-30,2020-03-27,,,
12051,South Carthay,8.0,75.5,2020-03-30,2020-03-27,,34.0561,-118.3734
12052,South Edwards,0.0,0.0,2020-03-30,2020-03-27,,,
12053,South El Monte,0.0,0.0,2020-03-30,2020-03-27,,34.0493,-118.0469
12054,South Gate,14.0,14.04,2020-03-30,2020-03-27,,33.955999999999996,-118.2113
12055,South Park,4.0,10.23,2020-03-30,2020-03-27,,34.0418,-118.2639
12056,South Pasadena,5.0,19.28,2020-03-30,2020-03-27,,34.1165,-118.1468
12057,South San Gabriel,0.0,0.0,2020-03-30,2020-03-27,,34.0492,-118.0949
12058,South Whittier,5.0,8.58,2020-03-30,2020-03-27,,33.9608,-118.0417
12059,Southeast Antelope Valley,0.0,0.0,2020-03-30,2020-03-27,,,
12060,St Elmo Village,0.0,0.0,2020-03-30,2020-03-27,,34.0431,-118.34299999999999
12061,Stevenson Ranch,0.0,0.0,2020-03-30,2020-03-27,,34.3873,-118.5802
12062,Studio City,15.0,70.08,2020-03-30,2020-03-27,,34.1413,-118.3878
12063,Sun Valley,6.0,10.87,2020-03-30,2020-03-27,,34.2274,-118.3811
12064,Sun Village,0.0,0.0,2020-03-30,2020-03-27,,,
12065,Sunland,0.0,0.0,2020-03-30,2020-03-27,,34.266,-118.3114
12066,Sunrise Village,0.0,0.0,2020-03-30,2020-03-27,,,
12067,Sycamore Square,0.0,0.0,2020-03-30,2020-03-27,,,
12068,Sylmar,18.0,21.75,2020-03-30,2020-03-27,,34.3058,-118.4572
12069,Tarzana,24.0,79.4,2020-03-30,2020-03-27,,34.1509,-118.5517
12070,Temple City,1.0,2.74,2020-03-30,2020-03-27,,34.1072,-118.0579
12071,Temple-Beaudry,8.0,20.52,2020-03-30,2020-03-27,,34.0629,-118.2513
12072,Thai Town,0.0,0.0,2020-03-30,2020-03-27,,34.1018,-118.3036
12073,Toluca Lake,0.0,0.0,2020-03-30,2020-03-27,,34.1502,-118.355
12074,Toluca Terrace,0.0,0.0,2020-03-30,2020-03-27,,,
12075,Toluca Woods,0.0,0.0,2020-03-30,2020-03-27,,,
12076,Torrance,43.0,29.31,2020-03-30,2020-03-27,,33.8408,-118.3454
12077,Tujunga,4.0,14.2,2020-03-30,2020-03-27,,34.2633,-118.3027
12078,Twin Lakes/Oat Mountain,0.0,0.0,2020-03-30,2020-03-27,,,
12079,Universal City,0.0,0.0,2020-03-30,2020-03-27,,,
12080,University Hills,0.0,0.0,2020-03-30,2020-03-27,,,
12081,University Park,6.0,22.29,2020-03-30,2020-03-27,,34.0315,-118.2797
12082,Val Verde,0.0,0.0,2020-03-30,2020-03-27,,,
12083,Valencia,0.0,0.0,2020-03-30,2020-03-27,,,
12084,Valinda,0.0,0.0,2020-03-30,2020-03-27,,34.0433,-117.9331
12085,Valley Glen,4.0,13.4,2020-03-30,2020-03-27,,34.1838,-118.4172
12086,Valley Village,19.0,81.1,2020-03-30,2020-03-27,,34.1633,-118.3842
12087,Van Nuys,10.0,10.77,2020-03-30,2020-03-27,,34.1899,-118.4514
12088,Venice,18.0,52.73,2020-03-30,2020-03-27,,33.9764,-118.4667
12089,Vermont Knolls,0.0,0.0,2020-03-30,2020-03-27,,33.9293,-118.2893
12090,Vermont Square,0.0,0.0,2020-03-30,2020-03-27,,34.0037,-118.3002
12091,Vermont Vista,5.0,12.0,2020-03-30,2020-03-27,,33.9465,-118.2826
12092,Vernon,0.0,0.0,2020-03-30,2020-03-27,,,
12093,Vernon Central,4.0,7.39,2020-03-30,2020-03-27,,34.0043,-118.257
12094,Victoria Park,0.0,0.0,2020-03-30,2020-03-27,,34.047,-118.3319
12095,View Heights,0.0,0.0,2020-03-30,2020-03-27,,33.9844,-118.3477
12096,View Park/Windsor Hills,0.0,0.0,2020-03-30,2020-03-27,,33.9943,-118.3447
12097,Walnut,3.0,9.98,2020-03-30,2020-03-27,,34.0203,-117.8653
12098,Walnut Park,0.0,0.0,2020-03-30,2020-03-27,,33.9689,-118.2224
12099,Watts,2.0,4.55,2020-03-30,2020-03-27,,33.9386,-118.238
12100,Wellington Square,0.0,0.0,2020-03-30,2020-03-27,,34.0392,-118.3343
12101,West Adams,9.0,32.0,2020-03-30,2020-03-27,,34.0342,-118.3623
12102,West Antelope Valley,0.0,0.0,2020-03-30,2020-03-27,,,
12103,West Carson,8.0,36.49,2020-03-30,2020-03-27,,33.8206,-118.2934
12104,West Chatsworth,0.0,0.0,2020-03-30,2020-03-27,,,
12105,West Covina,7.0,6.5,2020-03-30,2020-03-27,,34.0686,-117.939
12106,West Hills,7.0,17.89,2020-03-30,2020-03-27,,34.1973,-118.64399999999999
