CITY/COMMUNITY (if in Los Angeles City),new_cases,total_cases,lat,long,date
Venice,,4,33.9764,-118.4667,3/20/2020
Vermont Knolls,,1,33.9293,-118.2893,3/20/2020
Walnut,,2,34.0203,-117.8653,3/20/2020
West Adams,,1,34.0342,-118.3623,3/20/2020
West Hills,,3,34.1973,-118.6440,3/20/2020
West Hollywood,,15,34.0907,-118.3860,3/20/2020
West Los Angeles,,3,34.0399,-118.4422,3/20/2020
West Vernon,,1,34.0039,-118.2301,3/20/2020
Westchester,,3,33.9597,-118.4006,3/20/2020
Westwood,,5,34.0561,-118.4297,3/20/2020
Whittier,,2,33.9679,-118.0189,3/20/2020
Winnetka,,1,34.2059,-118.5754,3/20/2020
Woodland Hills,,4,34.1659,-118.6104,3/20/2020
Under Investigation,,39,#N/A,#N/A,3/20/2020
Long Beach,,12,33.7701,-118.1937,3/20/2020
Pasadena,,2,34.1561,-118.1319,3/20/2020
Alhambra,,3,34.0953,-118.1270,3/21/20
Altadena,,3,34.1902,-118.1313,3/21/20
Arcadia,,2,34.1397,-118.0353,3/21/20
Baldwin Hills,,2,34.0047,-118.3415,3/21/20
Beverly Hills,,7,34.0736,-118.4004,3/21/20
Beverlywood,,5,34.0409,-118.3919,3/21/20
Boyle Heights,,5,34.0339,-118.2054,3/21/20
Brentwood,,18,34.0519,-118.4731,3/21/20
Burbank,,1,34.1808,-118.3090,3/21/20
Calabasas,,1,34.1383,-118.6608,3/21/20
Carson,,3,33.8374,-118.2559,3/21/20
Castaic,,1,34.4889,-118.6229,3/21/20
Century City,,4,34.0556,-118.4179,3/21/20
Century Palms/Cove,,1,33.9461,-118.2732,3/21/20
Cerritos,,1,33.8584,-118.0648,3/21/20
Covina,,1,34.0900,-117.8903,3/21/20
Crestview,,4,34.0458,-118.3816,3/21/20
Culver City,,4,34.0211,-118.3965,3/21/20
Del Rey,,2,33.9878,-118.4229,3/21/20
Diamond Bar,,2,34.0286,-117.8103,3/21/20
Downtown,,1,34.0422,-118.2488,3/21/20
Eagle Rock,,1,34.1322,-118.2117,3/21/20
East Los Angeles,,1,34.0316,-118.1724,3/21/20
Echo Park,,1,34.0782,-118.2606,3/21/20
El Segundo,,2,33.9192,-118.4165,3/21/20
Encino,,10,34.1517,-118.5214,3/21/20
Gardena,,1,33.8938,-118.3080,3/21/20
Glendale,,5,34.1425,-118.2551,3/21/20
Granada Hills,,4,34.2794,-118.5022,3/21/20
Hancock Park,,4,34.0745,-118.3304,3/21/20
Hawthorne,,2,33.9194,-118.3540,3/21/20
Hollywood,,12,34.1016,-118.3337,3/21/20
Hollywood Hills,,2,34.1341,-118.3215,3/21/20
Inglewood,,2,33.9610,-118.3554,3/21/20
Koreatown,,1,34.0578,-118.3009,3/21/20
La Canada Flintridge,,1,34.2091,-118.2001,3/21/20
La Mirada,,3,33.9190,-118.0105,3/21/20
La Verne,,1,34.1202,-117.7704,3/21/20
Lake Balboa,,1,34.1839,-118.4954,3/21/20
Lakewood,,1,33.8536,-118.1340,3/21/20
Lancaster,,3,34.6868,-118.1542,3/21/20
Lawndale,,1,33.8881,-118.3535,3/21/20
Lomita,,7,33.7922,-118.3151,3/21/20
Lynwood,,1,33.9293,-118.2139,3/21/20
Manhattan Beach,,7,33.8812,-118.4072,3/21/20
Mar Vista,,4,34.0037,-118.4690,3/21/20
Melrose,,12,34.0837,-118.3366,3/21/20
Miracle Mile,,1,34.0597,-118.3500,3/21/20
Montebello,,1,34.0095,-118.1054,3/21/20
Monterey Park,,3,34.0625,-118.1228,3/21/20
North Hollywood,,5,34.1870,-118.3813,3/21/20
Northridge,,1,34.2379,-118.5302,3/21/20
Pacific Palisades,,7,34.0481,-118.5265,3/21/20
Palms,,1,34.0237,-118.4151,3/21/20
Park La Brea,,4,34.0702,-118.3497,3/21/20
Playa Vista,,2,33.9728,-118.4276,3/21/20
Redondo Beach,,2,33.8492,-118.3884,3/21/20
Reseda,,3,34.2011,-118.5360,3/21/20
San Dimas,,1,34.1067,-117.8067,3/21/20
San Fernando,,1,34.2819,-118.4390,3/21/20
San Pedro,,1,33.7361,-118.2922,3/21/20
Santa Clarita,,4,34.3917,-118.5426,3/21/20
Santa Monica,,5,34.0242,-118.4965,3/21/20
Santa Monica Mountains,,3,34.1203,-118.9318,3/21/20
Sherman Oaks,,7,34.1500,-118.4489,3/21/20
Silverlake,,3,34.0869,-118.2702,3/21/20
South El Monte,,1,34.0493,-118.0469,3/21/20
South Pasadena,,2,34.1165,-118.1468,3/21/20
South Whittier,,1,33.9608,-118.0417,3/21/20
Stevenson Ranch,,1,34.3873,-118.5802,3/21/20
Studio City,,4,34.1413,-118.3878,3/21/20
Sun Valley,,1,34.2274,-118.3811,3/21/20
Sunland,,1,34.2660,-118.3114,3/21/20
Sylmar,,1,34.3058,-118.4572,3/21/20
Tarzana,,7,34.1509,-118.5517,3/21/20
Torrance,,2,33.8408,-118.3454,3/21/20
Tujunga,,1,34.2633,-118.3027,3/21/20
University Park,,1,34.0315,-118.2797,3/21/20
Valley Glen,,6,34.1838,-118.4172,3/21/20
Van Nuys,,2,34.1899,-118.4514,3/21/20
Venice,,6,33.9764,-118.4667,3/21/20
Vermont Knolls,,1,33.9293,-118.2893,3/21/20
Vermont Vista,,1,33.9465,-118.2826,3/21/20
Vernon Central,,1,34.0043,-118.2570,3/21/20
Walnut,,1,34.0203,-117.8653,3/21/20
West Adams,,2,34.0342,-118.3623,3/21/20
West Covina,,1,34.0686,-117.9390,3/21/20
West Hills,,4,34.1973,-118.6440,3/21/20
West Hollywood,,18,34.0907,-118.3860,3/21/20
West Los Angeles,,3,34.0399,-118.4422,3/21/20
West Vernon,,2,34.0039,-118.2301,3/21/20
Westchester,,3,33.9597,-118.4006,3/21/20
Westlake,,1,34.1458,-118.8056,3/21/20
Westwood,,5,34.0561,-118.4297,3/21/20
Whittier,,2,33.9679,-118.0189,3/21/20
Winnetka,,1,34.2059,-118.5754,3/21/20
Woodland Hills,,5,34.1659,-118.6104,3/21/20
-Under Investigation,,31,#N/A,#N/A,3/21/20
Pasadena,,3,34.1561,-118.1319,3/21/20
Long Beach,,13,33.7701,-118.1937,3/21/20
Alhambra,,3,34.0953,-118.1270,3/22/20
Altadena,,3,34.1902,-118.1313,3/22/20
Arcadia,,2,34.1397,-118.0353,3/22/20
Athens,,1,33.9200,-118.2812,3/22/20
