,neighborhood,current_cases,cases_per_100k,ds,ds_3_days_ago,new_cases_last_3_days,lat,long
184,Palmdale,490.0,475.06,2020-05-07,2020-05-04,45.0,34.5794,-118.1093
185,Palms,154.0,350.98,2020-05-07,2020-05-04,11.0,34.0237,-118.4151
186,Palos Verdes Estates,40.0,295.81,2020-05-07,2020-05-04,3.0,33.7871,-118.3976
187,Palos Verdes Peninsula,0.0,0.0,2020-05-07,2020-05-04,0.0,,
188,Panorama City,393.0,522.26,2020-05-07,2020-05-04,54.0,34.2247,-118.4498
189,Paramount,170.0,303.45,2020-05-07,2020-05-04,20.0,33.8895,-118.1598
190,Park La Brea,13.0,95.73,2020-05-07,2020-05-04,1.0,34.0702,-118.3497
191,Pearblossom/Llano,2.0,102.25,2020-05-07,2020-05-04,0.0,,
192,Pellissier Village,0.0,0.0,2020-05-07,2020-05-04,0.0,,
193,Pico Rivera,241.0,374.9,2020-05-07,2020-05-04,46.0,33.9831,-118.0967
194,Pico-Union,315.0,752.83,2020-05-07,2020-05-04,46.0,34.0446,-118.277
195,Placerita Canyon,0.0,0.0,2020-05-07,2020-05-04,0.0,,
196,Playa Del Rey,1.0,31.29,2020-05-07,2020-05-04,0.0,,
197,Playa Vista,20.0,182.7,2020-05-07,2020-05-04,0.0,33.9728,-118.4276
198,Pomona,233.0,148.78,2020-05-07,2020-05-04,35.0,34.0551,-117.75
199,Porter Ranch,64.0,179.84,2020-05-07,2020-05-04,4.0,39.4346,-121.0205
200,Quartz Hill,29.0,224.7,2020-05-07,2020-05-04,1.0,34.6453,-118.2181
201,Rancho Dominguez,11.0,413.38,2020-05-07,2020-05-04,1.0,33.8508,-118.2249
202,Rancho Palos Verdes,74.0,173.11,2020-05-07,2020-05-04,12.0,33.7445,-118.387
203,Rancho Park,12.0,182.93,2020-05-07,2020-05-04,0.0,34.0454,-118.4207
204,Redondo Beach,116.0,168.86,2020-05-07,2020-05-04,5.0,33.8492,-118.3884
205,Regent Square,3.0,107.91,2020-05-07,2020-05-04,0.0,,
206,Reseda,289.0,377.2,2020-05-07,2020-05-04,49.0,34.2011,-118.536
207,Reseda Ranch,23.0,496.12,2020-05-07,2020-05-04,1.0,34.216,-118.5356
208,Reynier Village,9.0,212.87,2020-05-07,2020-05-04,0.0,34.0368,-118.3856
209,Rolling Hills,2.0,103.09,2020-05-07,2020-05-04,0.0,,
210,Rolling Hills Estates,13.0,160.24,2020-05-07,2020-05-04,0.0,33.7878,-118.3581
211,Roosevelt,0.0,0.0,2020-05-07,2020-05-04,0.0,,
212,Rosemead,47.0,84.91,2020-05-07,2020-05-04,7.0,34.0806,-118.0728
213,Rosewood,5.0,388.8,2020-05-07,2020-05-04,1.0,,
214,Rosewood/East Gardena,0.0,0.0,2020-05-07,2020-05-04,0.0,,
215,Rosewood/West Rancho Dominguez,11.0,327.28,2020-05-07,2020-05-04,1.0,34.0057,-118.4304
216,Rowland Heights,65.0,127.4,2020-05-07,2020-05-04,7.0,33.9761,-117.9053
217,San Clemente Island,0.0,0.0,2020-05-07,2020-05-04,0.0,,
218,San Dimas,31.0,89.81,2020-05-07,2020-05-04,1.0,34.1067,-117.8067
219,San Fernando,123.0,499.76,2020-05-07,2020-05-04,21.0,34.2819,-118.439
220,San Francisquito Canyon/Bouquet Canyon,0.0,0.0,2020-05-07,2020-05-04,0.0,,
221,San Gabriel,42.0,102.55,2020-05-07,2020-05-04,10.0,34.0968,-118.1057
222,San Jose Hills,27.0,133.52,2020-05-07,2020-05-04,3.0,34.0592,-117.8426
223,San Marino,12.0,90.38,2020-05-07,2020-05-04,0.0,34.1214,-118.1065
224,San Pasqual,0.0,0.0,2020-05-07,2020-05-04,0.0,,
225,San Pedro,630.0,807.3,2020-05-07,2020-05-04,21.0,33.7361,-118.2922
226,Sand Canyon,0.0,0.0,2020-05-07,2020-05-04,0.0,,
227,Santa Catalina Island,2.0,749.06,2020-05-07,2020-05-04,0.0,,
228,Santa Clarita,462.0,209.6,2020-05-07,2020-05-04,57.0,34.3917,-118.5426
229,Santa Fe Springs,31.0,168.81,2020-05-07,2020-05-04,4.0,33.9472,-118.0853
230,Santa Monica,203.0,219.59,2020-05-07,2020-05-04,18.0,34.0242,-118.4965
231,Santa Monica Mountains,19.0,102.04,2020-05-07,2020-05-04,4.0,34.1203,-118.9318
232,Saugus,4.0,2580.65,2020-05-07,2020-05-04,1.0,,
233,Saugus/Canyon Country,0.0,0.0,2020-05-07,2020-05-04,0.0,,
234,Shadow Hills,9.0,202.61,2020-05-07,2020-05-04,0.0,34.2575,-118.355
235,Sherman Oaks,159.0,182.23,2020-05-07,2020-05-04,21.0,34.15,-118.4489
