,neighborhood,current_cases,cases_per_100k,ds,ds_3_days_ago,new_cases_last_3_days,lat,long,region
139,Lancaster,463.0,286.56,2020-05-16,2020-05-13,25.0,34.6868,-118.1542,Antelope Valley
140,Lawndale,84.0,249.9,2020-05-16,2020-05-13,3.0,33.8881,-118.3535,South Bay
141,Leimert Park,45.0,295.37,2020-05-16,2020-05-13,2.0,34.0118,-118.3234,South L.A.
142,Lennox,81.0,359.33,2020-05-16,2020-05-13,6.0,33.9397,-118.3529,South Bay
143,Leona Valley,2.0,114.22,2020-05-16,2020-05-13,0.0,,,
144,Lincoln Heights,182.0,558.33,2020-05-16,2020-05-13,18.0,34.0706,-118.2051,Eastside
145,Little Armenia,166.0,2068.54,2020-05-16,2020-05-13,2.0,34.0981,-118.3005,Central L.A.
146,Little Bangladesh,105.0,370.46,2020-05-16,2020-05-13,8.0,34.0691,-118.2956,Central L.A.
147,Little Tokyo,10.0,319.18,2020-05-16,2020-05-13,0.0,34.0523,-118.2395,Central L.A.
148,Littlerock,14.0,348.17,2020-05-16,2020-05-13,0.0,,,
149,Littlerock/Juniper Hills,2.0,154.2,2020-05-16,2020-05-13,0.0,,,
150,Littlerock/Pearblossom,15.0,420.29,2020-05-16,2020-05-13,3.0,34.5211,-117.9837,Antelope Valley
151,Llano,1.0,114.03,2020-05-16,2020-05-13,0.0,,,
152,Lomita,45.0,217.09,2020-05-16,2020-05-13,2.0,33.7922,-118.3151,South Bay
153,Longwood,17.0,394.98,2020-05-16,2020-05-13,0.0,34.055296000000006,-118.33941499999999,Central L.A.
154,Los Feliz,43.0,199.0,2020-05-16,2020-05-13,0.0,34.1124,-118.2851,Central L.A.
155,Lynwood,322.0,446.93,2020-05-16,2020-05-13,27.0,33.9293,-118.2139,Southeast
156,Malibu,34.0,262.33,2020-05-16,2020-05-13,2.0,34.0259,-118.7798,Santa Monica Mountains
157,Manchester Square,18.0,210.87,2020-05-16,2020-05-13,0.0,33.8993,-118.2977,South Bay
158,Mandeville Canyon,1.0,32.01,2020-05-16,2020-05-13,0.0,,,
159,Manhattan Beach,73.0,202.78,2020-05-16,2020-05-13,2.0,33.8812,-118.4072,South Bay
160,Mar Vista,70.0,164.82,2020-05-16,2020-05-13,5.0,34.0037,-118.469,Westside
161,Marina Peninsula,9.0,206.42,2020-05-16,2020-05-13,0.0,33.9797,-118.4657,Westside
162,Marina del Rey,13.0,138.14,2020-05-16,2020-05-13,0.0,33.9803,-118.4517,Westside
163,Maywood,127.0,452.78,2020-05-16,2020-05-13,14.0,33.9885,-118.1874,Southeast
164,Melrose,454.0,584.33,2020-05-16,2020-05-13,25.0,34.0837,-118.3366,Central L.A.
165,Mid-city,44.0,292.75,2020-05-16,2020-05-13,0.0,34.0429,-118.3344,Central L.A.
166,Miracle Mile,39.0,216.85,2020-05-16,2020-05-13,1.0,34.0597,-118.35,Central L.A.
167,Mission Hills,116.0,480.85,2020-05-16,2020-05-13,14.0,34.2723,-118.4689,San Fernando Valley
168,Monrovia,137.0,438.03,2020-05-16,2020-05-13,15.0,34.1481,-117.999,San Gabriel Valley
169,Montebello,245.0,380.58,2020-05-16,2020-05-13,14.0,34.0095,-118.1054,Southeast
170,Monterey Park,117.0,187.92,2020-05-16,2020-05-13,6.0,34.0625,-118.1228,San Gabriel Valley
171,Mt. Washington,68.0,281.63,2020-05-16,2020-05-13,2.0,34.1003,-118.2097,Northeast L.A.
172,Newhall,0.0,0.0,2020-05-16,2020-05-13,0.0,,,
173,North Hills,312.0,506.7,2020-05-16,2020-05-13,31.0,34.2362,-118.4851,San Fernando Valley
174,North Hollywood,555.0,366.53,2020-05-16,2020-05-13,38.0,34.187,-118.3813,San Fernando Valley
175,North Lancaster,4.0,333.89,2020-05-16,2020-05-13,0.0,,,
176,North Whittier,8.0,95.69,2020-05-16,2020-05-13,1.0,34.0396,-117.9991,San Gabriel Valley
177,Northeast San Gabriel,28.0,116.49,2020-05-16,2020-05-13,4.0,34.0961,-118.1058,San Gabriel Valley
178,Northridge,245.0,351.02,2020-05-16,2020-05-13,20.0,34.2379,-118.5302,San Fernando Valley
179,Norwalk,286.0,265.74,2020-05-16,2020-05-13,16.0,33.9022,-118.0817,Southeast
180,Pacific Palisades,41.0,192.57,2020-05-16,2020-05-13,1.0,34.0481,-118.5265,Westside
181,Pacoima,506.0,657.32,2020-05-16,2020-05-13,50.0,34.2625,-118.427,San Fernando Valley
182,Palisades Highlands,3.0,78.0,2020-05-16,2020-05-13,0.0,,,
183,Palmdale,560.0,475.06,2020-05-16,2020-05-13,29.0,34.5794,-118.1093,Antelope Valley
184,Palms,167.0,380.61,2020-05-16,2020-05-13,4.0,34.0237,-118.4151,Westside
185,Palos Verdes Estates,42.0,310.6,2020-05-16,2020-05-13,2.0,33.7871,-118.3976,South Bay
186,Palos Verdes Peninsula,0.0,0.0,2020-05-16,2020-05-13,0.0,,,
187,Panorama City,545.0,724.25,2020-05-16,2020-05-13,56.0,34.2247,-118.4498,San Fernando Valley
188,Paramount,197.0,351.64,2020-05-16,2020-05-13,9.0,33.8895,-118.1598,Southeast
189,Park La Brea,16.0,117.82,2020-05-16,2020-05-13,3.0,34.0702,-118.3497,Central L.A.
190,Pearblossom/Llano,2.0,102.25,2020-05-16,2020-05-13,0.0,,,
191,Pellissier Village,0.0,0.0,2020-05-16,2020-05-13,0.0,,,
192,Pico Rivera,325.0,505.57,2020-05-16,2020-05-13,38.0,33.9831,-118.0967,Southeast
193,Pico-Union,416.0,994.22,2020-05-16,2020-05-13,20.0,34.0446,-118.277,Central L.A.
194,Placerita Canyon,0.0,0.0,2020-05-16,2020-05-13,0.0,,,
195,Playa Del Rey,2.0,62.58,2020-05-16,2020-05-13,0.0,,,
196,Playa Vista,22.0,200.97,2020-05-16,2020-05-13,2.0,33.9728,-118.4276,Westside
197,Pomona,298.0,190.47,2020-05-16,2020-05-13,18.0,34.0551,-117.75,Pomona Valley
198,Porter Ranch,70.0,196.7,2020-05-16,2020-05-13,4.0,39.4346,-121.0205,
199,Quartz Hill,31.0,240.2,2020-05-16,2020-05-13,2.0,34.6453,-118.2181,Antelope Valley
200,Rancho Dominguez,13.0,488.54,2020-05-16,2020-05-13,0.0,33.8508,-118.2249,Harbor
201,Rancho Palos Verdes,77.0,180.13,2020-05-16,2020-05-13,1.0,33.7445,-118.387,South Bay
202,Rancho Park,12.0,182.93,2020-05-16,2020-05-13,0.0,34.0454,-118.4207,Westside
203,Redondo Beach,123.0,179.05,2020-05-16,2020-05-13,3.0,33.8492,-118.3884,South Bay
204,Regent Square,3.0,107.91,2020-05-16,2020-05-13,0.0,,,
205,Reseda,385.0,502.5,2020-05-16,2020-05-13,39.0,34.2011,-118.536,San Fernando Valley
206,Reseda Ranch,26.0,560.83,2020-05-16,2020-05-13,2.0,34.216,-118.5356,San Fernando Valley
207,Reynier Village,10.0,236.52,2020-05-16,2020-05-13,1.0,34.0368,-118.3856,Central L.A.
208,Rolling Hills,2.0,103.09,2020-05-16,2020-05-13,0.0,,,
209,Rolling Hills Estates,13.0,160.24,2020-05-16,2020-05-13,0.0,33.7878,-118.3581,South Bay
210,Roosevelt,0.0,0.0,2020-05-16,2020-05-13,0.0,,,
211,Rosemead,66.0,119.24,2020-05-16,2020-05-13,7.0,34.0806,-118.0728,San Gabriel Valley
212,Rosewood,5.0,388.8,2020-05-16,2020-05-13,0.0,,,
213,Rosewood/East Gardena,0.0,0.0,2020-05-16,2020-05-13,0.0,,,
214,Rosewood/West Rancho Dominguez,15.0,446.3,2020-05-16,2020-05-13,3.0,34.0057,-118.4304,Westside
215,Rowland Heights,81.0,158.76,2020-05-16,2020-05-13,4.0,33.9761,-117.9053,San Gabriel Valley
216,San Clemente Island,0.0,0.0,2020-05-16,2020-05-13,0.0,,,
217,San Dimas,39.0,112.99,2020-05-16,2020-05-13,1.0,34.1067,-117.8067,San Gabriel Valley
218,San Fernando,157.0,637.9,2020-05-16,2020-05-13,17.0,34.2819,-118.439,San Fernando Valley
219,San Francisquito Canyon/Bouquet Canyon,0.0,0.0,2020-05-16,2020-05-13,0.0,,,
220,San Gabriel,81.0,197.78,2020-05-16,2020-05-13,4.0,34.0968,-118.1057,San Gabriel Valley
221,San Jose Hills,37.0,182.98,2020-05-16,2020-05-13,1.0,34.0592,-117.8426,San Gabriel Valley
222,San Marino,19.0,143.1,2020-05-16,2020-05-13,1.0,34.1214,-118.1065,San Gabriel Valley
223,San Pasqual,1.0,49.14,2020-05-16,2020-05-13,0.0,,,
224,San Pedro,786.0,1007.2,2020-05-16,2020-05-13,22.0,33.7361,-118.2922,Harbor
225,Sand Canyon,0.0,0.0,2020-05-16,2020-05-13,0.0,,,
226,Santa Catalina Island,2.0,749.06,2020-05-16,2020-05-13,0.0,,,
227,Santa Clarita,576.0,261.31,2020-05-16,2020-05-13,47.0,34.3917,-118.5426,Northwest County
228,Santa Fe Springs,36.0,196.04,2020-05-16,2020-05-13,1.0,33.9472,-118.0853,Southeast
229,Santa Monica,240.0,259.61,2020-05-16,2020-05-13,18.0,34.0242,-118.4965,Westside
230,Santa Monica Mountains,20.0,107.41,2020-05-16,2020-05-13,0.0,34.1203,-118.9318,
231,Saugus,4.0,2580.65,2020-05-16,2020-05-13,0.0,,,
232,Saugus/Canyon Country,0.0,0.0,2020-05-16,2020-05-13,0.0,,,
233,Shadow Hills,10.0,225.12,2020-05-16,2020-05-13,1.0,34.2575,-118.355,San Fernando Valley
234,Sherman Oaks,197.0,225.78,2020-05-16,2020-05-13,9.0,34.15,-118.4489,San Fernando Valley
235,Sierra Madre,8.0,72.8,2020-05-16,2020-05-13,0.0,34.1617,-118.0528,San Gabriel Valley
236,Signal Hill,17.0,144.1,2020-05-16,2020-05-13,2.0,33.8045,-118.1678,Harbor
237,Silverlake,154.0,349.34,2020-05-16,2020-05-13,4.0,34.0869,-118.2702,Central L.A.
238,South Antelope Valley,0.0,0.0,2020-05-16,2020-05-13,0.0,,,
239,South Carthay,28.0,264.28,2020-05-16,2020-05-13,1.0,34.0561,-118.3734,Central L.A.
240,South El Monte,54.0,248.98,2020-05-16,2020-05-13,5.0,34.0493,-118.0469,San Gabriel Valley
241,South Gate,360.0,366.77,2020-05-16,2020-05-13,27.0,33.955999999999996,-118.2113,Southeast
242,South Park,211.0,555.83,2020-05-16,2020-05-13,23.0,34.0418,-118.2639,Central L.A.
243,South Pasadena,110.0,422.22,2020-05-16,2020-05-13,3.0,34.1165,-118.1468,San Gabriel Valley
244,South San Gabriel,23.0,259.95,2020-05-16,2020-05-13,0.0,34.0492,-118.0949,San Gabriel Valley
245,South Whittier,100.0,168.86,2020-05-16,2020-05-13,9.0,33.9608,-118.0417,San Gabriel Valley
246,Southeast Antelope Valley,0.0,0.0,2020-05-16,2020-05-13,0.0,,,
247,St Elmo Village,36.0,785.34,2020-05-16,2020-05-13,5.0,34.0431,-118.34299999999999,Central L.A.
248,Stevenson Ranch,28.0,133.55,2020-05-16,2020-05-13,1.0,34.3873,-118.5802,Northwest County
249,Studio City,66.0,294.12,2020-05-16,2020-05-13,1.0,34.1413,-118.3878,San Fernando Valley
