,neighborhood,current_cases,cases_per_100k,ds,ds_3_days_ago,new_cases_last_3_days,lat,long,region
97,Gramercy Place,41.0,380.9,2020-05-11,2020-05-08,1.0,34.0468,-118.3127,Central L.A.
98,Granada Hills,172.0,295.58,2020-05-11,2020-05-08,23.0,34.2794,-118.5022,San Fernando Valley
99,Green Meadows,91.0,423.16,2020-05-11,2020-05-08,4.0,33.9556,-118.2694,South L.A.
100,Hacienda Heights,70.0,125.17,2020-05-11,2020-05-08,6.0,33.9931,-117.9687,San Gabriel Valley
101,Hancock Park,71.0,416.69,2020-05-11,2020-05-08,1.0,34.0745,-118.3304,Central L.A.
102,Harbor City,57.0,196.08,2020-05-11,2020-05-08,0.0,33.79,-118.2978,Harbor
103,Harbor Gateway,84.0,192.66,2020-05-11,2020-05-08,3.0,33.8501,-118.2991,Harbor
104,Harbor Pines,5.0,207.56,2020-05-11,2020-05-08,3.0,,,
105,Harvard Heights,84.0,465.76,2020-05-11,2020-05-08,11.0,34.044000000000004,-118.3042,Central L.A.
106,Harvard Park,178.0,469.22,2020-05-11,2020-05-08,8.0,33.9841,-118.3042,South L.A.
107,Hawaiian Gardens,12.0,81.77,2020-05-11,2020-05-08,1.0,33.8314,-118.0728,Harbor
108,Hawthorne,260.0,288.33,2020-05-11,2020-05-08,16.0,33.9194,-118.354,South Bay
109,Hermosa Beach,25.0,127.1,2020-05-11,2020-05-08,0.0,33.8621,-118.4,South Bay
110,Hi Vista,0.0,0.0,2020-05-11,2020-05-08,0.0,,,
111,Hidden Hills,1.0,52.91,2020-05-11,2020-05-08,1.0,,,
112,Highland Park,110.0,227.31,2020-05-11,2020-05-08,2.0,34.1145,-118.1842,Northeast L.A.
113,Historic Filipinotown,83.0,598.41,2020-05-11,2020-05-08,4.0,34.0703,-118.26799999999999,Central L.A.
114,Hollywood,214.0,313.53,2020-05-11,2020-05-08,2.0,34.1016,-118.3337,Central L.A.
115,Hollywood Hills,71.0,241.22,2020-05-11,2020-05-08,3.0,34.1341,-118.3215,Central L.A.
116,Huntington Park,206.0,346.31,2020-05-11,2020-05-08,10.0,33.9849,-118.2278,Southeast
117,Hyde Park,95.0,332.85,2020-05-11,2020-05-08,6.0,33.9819,-118.3309,South L.A.
118,Industry,10.0,2288.33,2020-05-11,2020-05-08,3.0,,,
119,Inglewood,420.0,369.78,2020-05-11,2020-05-08,7.0,33.961,-118.3554,South Bay
120,Irwindale,3.0,205.62,2020-05-11,2020-05-08,1.0,,,
121,Jefferson Park,24.0,297.29,2020-05-11,2020-05-08,1.0,34.0272,-118.3176,South L.A.
122,Kagel/Lopez Canyons,2.0,141.64,2020-05-11,2020-05-08,1.0,,,
123,Koreatown,184.0,355.95,2020-05-11,2020-05-08,14.0,34.0578,-118.3009,Central L.A.
124,La Canada Flintridge,43.0,207.8,2020-05-11,2020-05-08,2.0,34.2091,-118.2001,Verdugos
125,La Crescenta-Montrose,18.0,90.9,2020-05-11,2020-05-08,1.0,34.2288,-118.2351,Verdugos
126,La Habra Heights,4.0,73.33,2020-05-11,2020-05-08,0.0,,,
127,La Mirada,76.0,153.23,2020-05-11,2020-05-08,1.0,33.919000000000004,-118.0105,Southeast
128,La Puente,54.0,132.69,2020-05-11,2020-05-08,4.0,34.02,-117.9495,San Gabriel Valley
129,La Rambla,6.0,289.16,2020-05-11,2020-05-08,0.0,33.744119,-118.301353,Harbor
130,La Verne,24.0,98.04,2020-05-11,2020-05-08,4.0,34.1202,-117.7704,Pomona Valley
131,Ladera Heights,17.0,240.42,2020-05-11,2020-05-08,0.0,33.9878,-118.3704,Westside
132,Lafayette Square,14.0,307.08,2020-05-11,2020-05-08,0.0,34.0431,-118.3319,Central L.A.
133,Lake Balboa,137.0,324.6,2020-05-11,2020-05-08,9.0,34.1839,-118.4954,San Fernando Valley
134,Lake Hughes,0.0,0.0,2020-05-11,2020-05-08,0.0,,,
135,Lake Los Angeles,25.0,192.4,2020-05-11,2020-05-08,0.0,34.6125,-117.8281,Antelope Valley
136,Lake Manor,3.0,182.59,2020-05-11,2020-05-08,0.0,,,
137,Lakeview Terrace,72.0,548.24,2020-05-11,2020-05-08,4.0,34.2764,-118.3612,San Fernando Valley
138,Lakewood,104.0,129.41,2020-05-11,2020-05-08,5.0,33.8536,-118.134,Harbor
139,Lancaster,420.0,259.95,2020-05-11,2020-05-08,26.0,34.6868,-118.1542,Antelope Valley
140,Lawndale,81.0,240.97,2020-05-11,2020-05-08,6.0,33.8881,-118.3535,South Bay
141,Leimert Park,41.0,269.12,2020-05-11,2020-05-08,2.0,34.0118,-118.3234,South L.A.
142,Lennox,70.0,310.53,2020-05-11,2020-05-08,7.0,33.9397,-118.3529,South Bay
143,Leona Valley,1.0,57.11,2020-05-11,2020-05-08,0.0,,,
144,Lincoln Heights,155.0,475.5,2020-05-11,2020-05-08,5.0,34.0706,-118.2051,Eastside
145,Little Armenia,158.0,1968.85,2020-05-11,2020-05-08,6.0,34.0981,-118.3005,Central L.A.
146,Little Bangladesh,90.0,317.54,2020-05-11,2020-05-08,1.0,34.0691,-118.2956,Central L.A.
147,Little Tokyo,9.0,287.26,2020-05-11,2020-05-08,1.0,34.0523,-118.2395,Central L.A.
148,Littlerock,11.0,273.56,2020-05-11,2020-05-08,0.0,,,
149,Littlerock/Juniper Hills,1.0,77.1,2020-05-11,2020-05-08,0.0,,,
150,Littlerock/Pearblossom,10.0,280.19,2020-05-11,2020-05-08,3.0,34.5211,-117.9837,Antelope Valley
151,Llano,1.0,114.03,2020-05-11,2020-05-08,0.0,,,
152,Lomita,41.0,197.79,2020-05-11,2020-05-08,1.0,33.7922,-118.3151,South Bay
153,Longwood,18.0,418.22,2020-05-11,2020-05-08,2.0,34.055296000000006,-118.33941499999999,Central L.A.
154,Los Feliz,38.0,175.86,2020-05-11,2020-05-08,2.0,34.1124,-118.2851,Central L.A.
155,Lynwood,276.0,383.08,2020-05-11,2020-05-08,21.0,33.9293,-118.2139,Southeast
156,Malibu,32.0,246.89,2020-05-11,2020-05-08,1.0,34.0259,-118.7798,Santa Monica Mountains
157,Manchester Square,17.0,199.16,2020-05-11,2020-05-08,1.0,33.8993,-118.2977,South Bay
158,Mandeville Canyon,1.0,32.01,2020-05-11,2020-05-08,0.0,,,
159,Manhattan Beach,69.0,191.67,2020-05-11,2020-05-08,1.0,33.8812,-118.4072,South Bay
160,Mar Vista,64.0,150.69,2020-05-11,2020-05-08,2.0,34.0037,-118.469,Westside
161,Marina Peninsula,9.0,206.42,2020-05-11,2020-05-08,0.0,33.9797,-118.4657,Westside
162,Marina del Rey,13.0,138.14,2020-05-11,2020-05-08,2.0,33.9803,-118.4517,Westside
163,Maywood,90.0,320.87,2020-05-11,2020-05-08,7.0,33.9885,-118.1874,Southeast
164,Melrose,412.0,530.27,2020-05-11,2020-05-08,7.0,34.0837,-118.3366,Central L.A.
165,Mid-city,43.0,286.09,2020-05-11,2020-05-08,0.0,34.0429,-118.3344,Central L.A.
166,Miracle Mile,37.0,205.73,2020-05-11,2020-05-08,0.0,34.0597,-118.35,Central L.A.
167,Mission Hills,97.0,402.09,2020-05-11,2020-05-08,7.0,34.2723,-118.4689,San Fernando Valley
168,Monrovia,104.0,334.97,2020-05-11,2020-05-08,16.0,34.1481,-117.999,San Gabriel Valley
169,Montebello,215.0,333.98,2020-05-11,2020-05-08,11.0,34.0095,-118.1054,Southeast
170,Monterey Park,108.0,173.46,2020-05-11,2020-05-08,10.0,34.0625,-118.1228,San Gabriel Valley
171,Mt. Washington,65.0,269.21,2020-05-11,2020-05-08,6.0,34.1003,-118.2097,Northeast L.A.
172,Newhall,0.0,0.0,2020-05-11,2020-05-08,0.0,,,
173,North Hills,263.0,427.12,2020-05-11,2020-05-08,31.0,34.2362,-118.4851,San Fernando Valley
174,North Hollywood,489.0,322.94,2020-05-11,2020-05-08,26.0,34.187,-118.3813,San Fernando Valley
175,North Lancaster,4.0,333.89,2020-05-11,2020-05-08,1.0,,,
176,North Whittier,6.0,71.77,2020-05-11,2020-05-08,0.0,34.0396,-117.9991,San Gabriel Valley
177,Northeast San Gabriel,24.0,99.85,2020-05-11,2020-05-08,3.0,34.0961,-118.1058,San Gabriel Valley
178,Northridge,216.0,309.47,2020-05-11,2020-05-08,8.0,34.2379,-118.5302,San Fernando Valley
179,Norwalk,250.0,232.29,2020-05-11,2020-05-08,14.0,33.9022,-118.0817,Southeast
180,Pacific Palisades,39.0,183.18,2020-05-11,2020-05-08,0.0,34.0481,-118.5265,Westside
181,Pacoima,432.0,561.19,2020-05-11,2020-05-08,35.0,34.2625,-118.427,San Fernando Valley
182,Palisades Highlands,3.0,78.0,2020-05-11,2020-05-08,0.0,,,
183,Palmdale,508.0,475.06,2020-05-11,2020-05-08,13.0,34.5794,-118.1093,Antelope Valley
184,Palms,155.0,353.26,2020-05-11,2020-05-08,0.0,34.0237,-118.4151,Westside
185,Palos Verdes Estates,40.0,295.81,2020-05-11,2020-05-08,0.0,33.7871,-118.3976,South Bay
186,Palos Verdes Peninsula,0.0,0.0,2020-05-11,2020-05-08,0.0,,,
187,Panorama City,449.0,596.68,2020-05-11,2020-05-08,46.0,34.2247,-118.4498,San Fernando Valley
188,Paramount,178.0,317.73,2020-05-11,2020-05-08,7.0,33.8895,-118.1598,Southeast
189,Park La Brea,13.0,95.73,2020-05-11,2020-05-08,0.0,34.0702,-118.3497,Central L.A.
190,Pearblossom/Llano,2.0,102.25,2020-05-11,2020-05-08,0.0,,,
191,Pellissier Village,0.0,0.0,2020-05-11,2020-05-08,0.0,,,
192,Pico Rivera,263.0,409.12,2020-05-11,2020-05-08,14.0,33.9831,-118.0967,Southeast
193,Pico-Union,362.0,865.16,2020-05-11,2020-05-08,26.0,34.0446,-118.277,Central L.A.
194,Placerita Canyon,0.0,0.0,2020-05-11,2020-05-08,0.0,,,
195,Playa Del Rey,1.0,31.29,2020-05-11,2020-05-08,0.0,,,
196,Playa Vista,20.0,182.7,2020-05-11,2020-05-08,0.0,33.9728,-118.4276,Westside
197,Pomona,266.0,169.95,2020-05-11,2020-05-08,26.0,34.0551,-117.75,Pomona Valley
198,Porter Ranch,65.0,182.65,2020-05-11,2020-05-08,1.0,39.4346,-121.0205,
199,Quartz Hill,29.0,224.7,2020-05-11,2020-05-08,0.0,34.6453,-118.2181,Antelope Valley
200,Rancho Dominguez,12.0,450.96,2020-05-11,2020-05-08,0.0,33.8508,-118.2249,Harbor
201,Rancho Palos Verdes,75.0,175.45,2020-05-11,2020-05-08,0.0,33.7445,-118.387,South Bay
202,Rancho Park,12.0,182.93,2020-05-11,2020-05-08,0.0,34.0454,-118.4207,Westside
203,Redondo Beach,120.0,174.68,2020-05-11,2020-05-08,3.0,33.8492,-118.3884,South Bay
204,Regent Square,3.0,107.91,2020-05-11,2020-05-08,0.0,,,
205,Reseda,327.0,426.8,2020-05-11,2020-05-08,29.0,34.2011,-118.536,San Fernando Valley
206,Reseda Ranch,23.0,496.12,2020-05-11,2020-05-08,0.0,34.216,-118.5356,San Fernando Valley
207,Reynier Village,9.0,212.87,2020-05-11,2020-05-08,0.0,34.0368,-118.3856,Central L.A.
208,Rolling Hills,2.0,103.09,2020-05-11,2020-05-08,0.0,,,
209,Rolling Hills Estates,13.0,160.24,2020-05-11,2020-05-08,0.0,33.7878,-118.3581,South Bay
